Column,Missing_Count,Missing_Rate
Income,24,1.0714285714285714
ID,0,0.0
Year_Birth,0,0.0
Education,0,0.0
Marital_Status,0,0.0
Kidhome,0,0.0
Teenhome,0,0.0
Dt_Customer,0,0.0
Recency,0,0.0
MntWines,0,0.0
MntFruits,0,0.0
MntMeatProducts,0,0.0
MntFishProducts,0,0.0
MntSweetProducts,0,0.0
MntGoldProds,0,0.0
NumDealsPurchases,0,0.0
NumWebPurchases,0,0.0
NumCatalogPurchases,0,0.0
NumStorePurchases,0,0.0
NumWebVisitsMonth,0,0.0
AcceptedCmp3,0,0.0
AcceptedCmp4,0,0.0
AcceptedCmp5,0,0.0
AcceptedCmp1,0,0.0
AcceptedCmp2,0,0.0
Complain,0,0.0
Z_CostContact,0,0.0
Z_Revenue,0,0.0
Response,0,0.0
