Column,count,mean,std,min,25%,50%,75%,max
ID,2240.0,5592.159821428571,3246.6621975643407,0.0,2828.25,5458.5,8427.75,11191.0
Year_Birth,2240.0,1968.8058035714287,11.984069456885829,1893.0,1959.0,1970.0,1977.0,1996.0
Income,2216.0,52247.25135379061,25173.076660901403,1730.0,35303.0,51381.5,68522.0,666666.0
Kidhome,2240.0,0.44419642857142855,0.5383980977345936,0.0,0.0,0.0,1.0,2.0
Teenhome,2240.0,0.50625,0.5445382307698758,0.0,0.0,0.0,1.0,2.0
Recency,2240.0,49.109375,28.962452808378206,0.0,24.0,49.0,74.0,99.0
MntWines,2240.0,303.9357142857143,336.5973926053718,0.0,23.75,173.5,504.25,1493.0
MntFruits,2240.0,26.302232142857143,39.77343376457855,0.0,1.0,8.0,33.0,199.0
MntMeatProducts,2240.0,166.95,225.7153725117536,0.0,16.0,67.0,232.0,1725.0
MntFishProducts,2240.0,37.52544642857143,54.62897940287807,0.0,3.0,12.0,50.0,259.0
MntSweetProducts,2240.0,27.06294642857143,41.280498487854935,0.0,1.0,8.0,33.0,263.0
MntGoldProds,2240.0,44.021875,52.16743891499733,0.0,9.0,24.0,56.0,362.0
NumDealsPurchases,2240.0,2.325,1.932237500855979,0.0,1.0,2.0,3.0,15.0
NumWebPurchases,2240.0,4.084821428571429,2.778714147388102,0.0,2.0,4.0,6.0,27.0
NumCatalogPurchases,2240.0,2.6620535714285714,2.9231006555397463,0.0,0.0,2.0,4.0,28.0
NumStorePurchases,2240.0,5.790178571428571,3.2509581456744323,0.0,3.0,5.0,8.0,13.0
NumWebVisitsMonth,2240.0,5.316517857142857,2.426645009547286,0.0,3.0,6.0,7.0,20.0
AcceptedCmp3,2240.0,0.07276785714285715,0.25981306992189507,0.0,0.0,0.0,0.0,1.0
AcceptedCmp4,2240.0,0.07455357142857143,0.2627282848535613,0.0,0.0,0.0,0.0,1.0
AcceptedCmp5,2240.0,0.07276785714285715,0.25981306992189507,0.0,0.0,0.0,0.0,1.0
AcceptedCmp1,2240.0,0.06428571428571428,0.24531597433401414,0.0,0.0,0.0,0.0,1.0
AcceptedCmp2,2240.0,0.013392857142857142,0.1149756062554841,0.0,0.0,0.0,0.0,1.0
Complain,2240.0,0.009375,0.09639116794449755,0.0,0.0,0.0,0.0,1.0
Z_CostContact,2240.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0
Z_Revenue,2240.0,11.0,0.0,11.0,11.0,11.0,11.0,11.0
Response,2240.0,0.14910714285714285,0.35627358640847917,0.0,0.0,0.0,0.0,1.0
