Column,count,mean,min,25%,50%,75%,max,std
instant,731.0,366.0,1.0,183.5,366.0,548.5,731.0,211.16581162678773
dteday,731,2012-01-01 00:00:00,2011-01-01 00:00:00,2011-07-02 12:00:00,2012-01-01 00:00:00,2012-07-01 12:00:00,2012-12-31 00:00:00,
season,731.0,2.496580027359781,1.0,2.0,3.0,3.0,4.0,1.1108070927726255
yr,731.0,0.5006839945280438,0.0,0.0,1.0,1.0,1.0,0.5003418803818264
mnth,731.0,6.519835841313269,1.0,4.0,7.0,10.0,12.0,3.4519127872562527
holiday,731.0,0.028727770177838577,0.0,0.0,0.0,0.0,1.0,0.16715474262247382
weekday,731.0,2.997264021887825,0.0,1.0,3.0,5.0,6.0,2.0047869179444824
workingday,731.0,0.6839945280437757,0.0,0.0,1.0,1.0,1.0,0.4652333866777036
weathersit,731.0,1.3953488372093024,1.0,1.0,1.0,2.0,3.0,0.5448943419593665
temp,731.0,0.495384788508892,0.0591304,0.3370835,0.498333,0.6554165000000001,0.861667,0.18305099611148878
atemp,731.0,0.47435398864569084,0.0790696,0.3378425,0.486733,0.6086020000000001,0.840896,0.1629611783863113
hum,731.0,0.6278940629274967,0.0,0.52,0.626667,0.7302085,0.9725,0.14242909513835394
windspeed,731.0,0.190486211627907,0.0223917,0.13495,0.180975,0.2332145,0.507463,0.07749787068166941
casual,731.0,848.1764705882352,2.0,315.5,713.0,1096.0,3410.0,686.622488284655
registered,731.0,3656.172366621067,20.0,2497.0,3662.0,4776.5,6946.0,1560.2563770194536
cnt,731.0,4504.3488372093025,22.0,3152.0,4548.0,5956.0,8714.0,1937.2114516187676
