Column,count,mean,min,25%,50%,75%,max,std
instant,17379.0,8690.0,1.0,4345.5,8690.0,13034.5,17379.0,5017.029499614288
dteday,17379,2012-01-02 04:08:34.552045568,2011-01-01 00:00:00,2011-07-04 00:00:00,2012-01-02 00:00:00,2012-07-02 00:00:00,2012-12-31 00:00:00,
season,17379.0,2.5016399102364923,1.0,2.0,3.0,3.0,4.0,1.1069181394480763
yr,17379.0,0.5025605615973301,0.0,0.0,1.0,1.0,1.0,0.5000078290910197
mnth,17379.0,6.537775476149376,1.0,4.0,7.0,10.0,12.0,3.4387757137501653
hr,17379.0,11.546751826917545,0.0,6.0,12.0,18.0,23.0,6.9144050952644935
holiday,17379.0,0.028770355026181024,0.0,0.0,0.0,0.0,1.0,0.16716527638437123
weekday,17379.0,3.003682605443351,0.0,1.0,3.0,5.0,6.0,2.005771456110988
workingday,17379.0,0.6827205247712756,0.0,0.0,1.0,1.0,1.0,0.46543063352388286
weathersit,17379.0,1.425283387997008,1.0,1.0,1.0,2.0,4.0,0.6393568777542534
temp,17379.0,0.4969871684216583,0.02,0.34,0.5,0.66,1.0,0.1925561212497219
atemp,17379.0,0.4757751021347604,0.0,0.3333,0.4848,0.6212,1.0,0.17185021563535943
hum,17379.0,0.6272288394038783,0.0,0.48,0.63,0.78,1.0,0.19292983406291508
windspeed,17379.0,0.1900976063064618,0.0,0.1045,0.194,0.2537,0.8507,0.12234022857279049
casual,17379.0,35.67621842453536,0.0,4.0,17.0,48.0,367.0,49.30503038705308
registered,17379.0,153.78686920996606,0.0,34.0,115.0,220.0,886.0,151.35728591258314
cnt,17379.0,189.46308763450142,1.0,40.0,142.0,281.0,977.0,181.38759909186473
