class,1,2,3,4,5,6,7,8,9,10,All
air_conditioner,100,100,100,100,100,100,100,100,100,100,1000
car_horn,36,42,43,59,98,28,28,30,32,33,429
children_playing,100,100,100,100,100,100,100,100,100,100,1000
dog_bark,100,100,100,100,100,100,100,100,100,100,1000
drilling,100,100,100,100,100,100,100,100,100,100,1000
engine_idling,96,100,107,107,107,107,106,88,89,93,1000
gun_shot,35,35,36,38,40,46,51,30,31,32,374
jackhammer,120,120,120,120,120,68,76,78,82,96,1000
siren,86,91,119,166,71,74,77,80,82,83,929
street_music,100,100,100,100,100,100,100,100,100,100,1000
All,873,888,925,990,936,823,838,806,816,837,8732
