Variable,Count,Missing_Count,Mean,Median,Mode,Min,Max,Range,Variance,Standard_Deviation,CV_Percent,Q1_25_Percentile,Q2_50_Percentile,Q3_75_Percentile,IQR,Lower_Bound_IQR,Upper_Bound_IQR,Outlier_Count_IQR
Age,2240,0,45.14776785714286,44.0,38.0,18.0,82.0,64.0,138.57350997734957,11.77172502131058,26.073769712289703,37.0,44.0,55.0,18.0,10.0,82.0,0
Income,2240,0,51865.874553571426,51381.5,51381.5,1730.0,117416.25,115686.25,438320485.0827376,20936.10482116331,40.36585712931293,35538.75,51381.5,68289.75,32751.0,-13587.75,117416.25,0
Recency,2240,0,49.109375,49.0,56.0,0.0,99.0,99.0,838.8236726775347,28.962452808378206,58.97540501865114,24.0,49.0,74.0,50.0,-51.0,149.0,0
MntWines,2240,0,302.11294642857143,173.5,2.0,0.0,1225.0,1225.0,109598.97294531201,331.0573559752328,109.58065845533194,23.75,173.5,504.25,480.5,-697.0,1225.0,0
MntFruits,2240,0,21.679017857142856,8.0,0.0,0.0,81.0,81.0,742.9630253860144,27.257348098925807,125.7314712250444,1.0,8.0,33.0,32.0,-47.0,81.0,0
MntMeatProducts,2240,0,150.87321428571428,67.0,556.0,0.0,556.0,556.0,31975.397049065272,178.81665763866988,118.52114272586387,16.0,67.0,232.0,216.0,-308.0,556.0,0
MntFishProducts,2240,0,32.11584821428571,12.0,0.0,0.0,120.5,120.5,1629.0494360823552,40.3614845624186,125.6746647110665,3.0,12.0,50.0,47.0,-67.5,120.5,0
MntSweetProducts,2240,0,21.93794642857143,8.0,0.0,0.0,81.0,81.0,758.4700198988706,27.54033441879148,125.5374312653241,1.0,8.0,33.0,32.0,-47.0,81.0,0
MntGoldProds,2240,0,39.487723214285715,24.0,126.5,0.0,126.5,126.5,1594.2058563592643,39.92750751498601,101.11372412715147,9.0,24.0,56.0,47.0,-61.5,126.5,0
NumDealsPurchases,2240,0,2.215625,2.0,1.0,0.0,6.0,6.0,2.3675092117016523,1.5386712487408258,69.44637511947309,1.0,2.0,3.0,2.0,-2.0,6.0,0
NumWebPurchases,2240,0,4.060714285714286,4.0,2.0,0.0,12.0,12.0,7.008371084029861,2.6473328245669943,65.19377228485122,2.0,4.0,6.0,4.0,-4.0,12.0,0
NumCatalogPurchases,2240,0,2.624107142857143,2.0,0.0,0.0,10.0,10.0,7.479007688381292,2.7347774476877076,104.21744611807529,0.0,2.0,4.0,4.0,-6.0,10.0,0
NumStorePurchases,2240,0,5.790178571428571,5.0,3.0,0.0,13.0,13.0,10.568728864926944,3.2509581456744323,56.14607745806267,3.0,5.0,8.0,5.0,-4.5,15.5,0
NumWebVisitsMonth,2240,0,5.299107142857143,6.0,7.0,0.0,13.0,13.0,5.514782587890002,2.348357423368513,44.316096279237314,3.0,6.0,7.0,4.0,-3.0,13.0,0
Customer_Tenure_Days,2240,0,353.58214285714286,355.5,667.0,0.0,699.0,699.0,40853.50999808588,202.12251234854043,57.16423083905672,180.75,355.5,529.0,348.25,-341.625,1051.375,0
Total_Spending,2240,0,605.7794084821429,396.0,46.0,5.0,2510.625,2505.625,362632.2644806124,602.1895585948103,99.40739981632464,68.75,396.0,1045.5,976.75,-1396.375,2510.625,0
Total_Children,2240,0,0.9386160714285714,1.0,1.0,0.0,2.5,2.5,0.5224697230109104,0.7228206714053704,77.00919400466255,0.0,1.0,1.0,1.0,-1.5,2.5,0
Total_Purchases,2240,0,14.859375,15.0,7.0,0.0,40.5,40.5,58.79330197632872,7.667679047555963,51.60162555663319,8.0,15.0,21.0,13.0,-11.5,40.5,0
Total_Accepted_Campaigns,2240,0,0.446875,0.0,0.0,0.0,5.0,5.0,0.7930674966502903,0.8905433715716996,199.28243279926144,0.0,0.0,1.0,1.0,-1.5,2.5,97
