Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Rate_Percent
Age,37.0,55.0,18.0,10.0,82.0,0,0.0
Income,35538.75,68289.75,32751.0,-13587.75,117416.25,0,0.0
Recency,24.0,74.0,50.0,-51.0,149.0,0,0.0
MntWines,23.75,504.25,480.5,-697.0,1225.0,0,0.0
MntFruits,1.0,33.0,32.0,-47.0,81.0,0,0.0
MntMeatProducts,16.0,232.0,216.0,-308.0,556.0,0,0.0
MntFishProducts,3.0,50.0,47.0,-67.5,120.5,0,0.0
MntSweetProducts,1.0,33.0,32.0,-47.0,81.0,0,0.0
MntGoldProds,9.0,56.0,47.0,-61.5,126.5,0,0.0
NumDealsPurchases,1.0,3.0,2.0,-2.0,6.0,0,0.0
NumWebPurchases,2.0,6.0,4.0,-4.0,12.0,0,0.0
NumCatalogPurchases,0.0,4.0,4.0,-6.0,10.0,0,0.0
NumStorePurchases,3.0,8.0,5.0,-4.5,15.5,0,0.0
NumWebVisitsMonth,3.0,7.0,4.0,-3.0,13.0,0,0.0
Customer_Tenure_Days,180.75,529.0,348.25,-341.625,1051.375,0,0.0
Total_Spending,68.75,1045.5,976.75,-1396.375,2510.625,0,0.0
Total_Children,0.0,1.0,1.0,-1.5,2.5,0,0.0
Total_Purchases,8.0,21.0,13.0,-11.5,40.5,0,0.0
Total_Accepted_Campaigns,0.0,1.0,1.0,-1.5,2.5,97,4.330357142857142
