Variable,Missing_Before,Missing_After,Mean_Before,Mean_After,Median_Before,Median_After,Std_Before,Std_After,Outliers_Before,Outliers_After,Mean_Change,Std_Change
Age,0,0,45.19419642857143,45.14776785714286,44.0,44.0,11.984069456885829,11.77172502131058,3,0,-0.04642857142857082,-0.21234443557524862
Income,24,0,52247.25135379061,51865.874553571426,51381.5,51381.5,25173.076660901403,20936.10482116331,8,0,-381.3768002191864,-4236.971839738093
Recency,0,0,49.109375,49.109375,49.0,49.0,28.962452808378206,28.962452808378206,0,0,0.0,0.0
MntWines,0,0,303.9357142857143,302.11294642857143,173.5,173.5,336.5973926053718,331.0573559752328,35,0,-1.8227678571428783,-5.540036630139014
MntFruits,0,0,26.302232142857143,21.679017857142856,8.0,8.0,39.77343376457855,27.257348098925807,227,0,-4.623214285714287,-12.516085665652742
MntMeatProducts,0,0,166.95,150.87321428571428,67.0,67.0,225.7153725117536,178.81665763866988,175,0,-16.076785714285705,-46.89871487308372
MntFishProducts,0,0,37.52544642857143,32.11584821428571,12.0,12.0,54.62897940287807,40.3614845624186,223,0,-5.409598214285715,-14.26749484045947
MntSweetProducts,0,0,27.06294642857143,21.93794642857143,8.0,8.0,41.280498487854935,27.54033441879148,248,0,-5.125,-13.740164069063454
MntGoldProds,0,0,44.021875,39.487723214285715,24.0,24.0,52.16743891499733,39.92750751498601,207,0,-4.534151785714286,-12.239931400011315
NumDealsPurchases,0,0,2.325,2.215625,2.0,2.0,1.932237500855979,1.5386712487408258,86,0,-0.109375,-0.39356625211515306
NumWebPurchases,0,0,4.084821428571429,4.060714285714286,4.0,4.0,2.778714147388102,2.6473328245669943,4,0,-0.024107142857142883,-0.13138132282110782
NumCatalogPurchases,0,0,2.6620535714285714,2.624107142857143,2.0,2.0,2.9231006555397463,2.7347774476877076,23,0,-0.03794642857142838,-0.1883232078520387
NumStorePurchases,0,0,5.790178571428571,5.790178571428571,5.0,5.0,3.2509581456744323,3.2509581456744323,0,0,0.0,0.0
NumWebVisitsMonth,0,0,5.316517857142857,5.299107142857143,6.0,6.0,2.426645009547286,2.348357423368513,8,0,-0.017410714285714057,-0.07828758617877263
Customer_Tenure_Days,0,0,353.58214285714286,353.58214285714286,355.5,355.5,202.12251234854043,202.12251234854043,0,0,0.0,0.0
Total_Spending,0,0,605.7982142857143,605.7794084821429,396.0,396.0,602.2492880109676,602.1895585948103,3,0,-0.018805803571353863,-0.05972941615732452
Total_Children,0,0,0.9504464285714286,0.9386160714285714,1.0,1.0,0.7518028216317173,0.7228206714053704,53,0,-0.011830357142857184,-0.02898215022634687
Total_Purchases,0,0,14.862053571428572,14.859375,15.0,15.0,7.677172608175904,7.667679047555963,2,0,-0.00267857142857153,-0.009493560619940666
Total_Accepted_Campaigns,0,0,0.446875,0.446875,0.0,0.0,0.8905433715716996,0.8905433715716996,97,97,0.0,0.0
