Variable,Count,Missing_Count,Mean,Median,Mode,Min,Max,Range,Variance,Standard_Deviation,CV_Percent,Q1_25_Percentile,Q2_50_Percentile,Q3_75_Percentile,IQR,Lower_Bound_IQR,Upper_Bound_IQR,Outlier_Count_IQR
Age,2240,0,45.19419642857143,44.0,38.0,18.0,121.0,103.0,143.61792074746378,11.984069456885829,26.516832699584388,37.0,44.0,55.0,18.0,10.0,82.0,3
Income,2216,24,52247.25135379061,51381.5,7500.0,1730.0,666666.0,664936.0,633683788.5756189,25173.076660901403,48.180671726523386,35303.0,51381.5,68522.0,33219.0,-14525.5,118350.5,8
Recency,2240,0,49.109375,49.0,56.0,0.0,99.0,99.0,838.8236726775347,28.962452808378206,58.97540501865114,24.0,49.0,74.0,50.0,-51.0,149.0,0
MntWines,2240,0,303.9357142857143,173.5,2.0,0.0,1493.0,1493.0,113297.80470873478,336.5973926053718,110.74624559881565,23.75,173.5,504.25,480.5,-697.0,1225.0,35
MntFruits,2240,0,26.302232142857143,8.0,0.0,0.0,199.0,199.0,1581.9260334253172,39.77343376457855,151.2169520387256,1.0,8.0,33.0,32.0,-47.0,81.0,227
MntMeatProducts,2240,0,166.95,67.0,7.0,0.0,1725.0,1725.0,50947.42938811969,225.7153725117536,135.19938455331152,16.0,67.0,232.0,216.0,-308.0,556.0,175
MntFishProducts,2240,0,37.52544642857143,12.0,0.0,0.0,259.0,259.0,2984.3253906000764,54.62897940287807,145.57849300170943,3.0,12.0,50.0,47.0,-67.5,120.5,223
MntSweetProducts,2240,0,27.06294642857143,8.0,0.0,0.0,263.0,263.0,1704.0795554057934,41.280498487854935,152.53512250341475,1.0,8.0,33.0,32.0,-47.0,81.0,248
MntGoldProds,2240,0,44.021875,24.0,1.0,0.0,362.0,362.0,2721.441682949978,52.16743891499733,118.50344610491335,9.0,24.0,56.0,47.0,-61.5,126.5,207
NumDealsPurchases,2240,0,2.325,2.0,1.0,0.0,15.0,15.0,3.733541759714159,1.932237500855979,83.10698928412812,1.0,2.0,3.0,2.0,-2.0,6.0,86
NumWebPurchases,2240,0,4.084821428571429,4.0,2.0,0.0,27.0,27.0,7.721252312894786,2.778714147388102,68.02535180491091,2.0,4.0,6.0,4.0,-4.0,12.0,4
NumCatalogPurchases,2240,0,2.6620535714285714,2.0,0.0,0.0,28.0,28.0,8.544517442416895,2.9231006555397463,109.80622955574428,0.0,2.0,4.0,4.0,-6.0,10.0,23
NumStorePurchases,2240,0,5.790178571428571,5.0,3.0,0.0,13.0,13.0,10.568728864926944,3.2509581456744323,56.14607745806267,3.0,5.0,8.0,5.0,-4.5,15.5,0
NumWebVisitsMonth,2240,0,5.316517857142857,6.0,7.0,0.0,20.0,20.0,5.888606002360747,2.426645009547286,45.6435034124269,3.0,6.0,7.0,4.0,-3.0,13.0,8
Customer_Tenure_Days,2240,0,353.58214285714286,355.5,667.0,0.0,699.0,699.0,40853.50999808588,202.12251234854043,57.16423083905672,180.75,355.5,529.0,348.25,-341.625,1051.375,0
Total_Spending,2240,0,605.7982142857143,396.0,46.0,5.0,2525.0,2520.0,362704.2049097174,602.2492880109676,99.41417353319024,68.75,396.0,1045.5,976.75,-1396.375,2510.625,3
Total_Children,2240,0,0.9504464285714286,1.0,1.0,0.0,3.0,3.0,0.5652074826134117,0.7518028216317173,79.09996808149586,0.0,1.0,1.0,1.0,-1.5,2.5,53
Total_Purchases,2240,0,14.862053571428572,15.0,7.0,0.0,44.0,44.0,58.93897925572641,7.677172608175904,51.656203305139606,8.0,15.0,21.0,13.0,-11.5,40.5,2
Total_Accepted_Campaigns,2240,0,0.446875,0.0,0.0,0.0,5.0,5.0,0.7930674966502903,0.8905433715716996,199.28243279926144,0.0,0.0,1.0,1.0,-1.5,2.5,97
