Variable,Q1,Q3,IQR,Lower_Bound,Upper_Bound,Outlier_Count,Outlier_Rate_Percent
Age,37.0,55.0,18.0,10.0,82.0,3,0.13392857142857142
Income,35303.0,68522.0,33219.0,-14525.5,118350.5,8,0.35714285714285715
Recency,24.0,74.0,50.0,-51.0,149.0,0,0.0
MntWines,23.75,504.25,480.5,-697.0,1225.0,35,1.5625
MntFruits,1.0,33.0,32.0,-47.0,81.0,227,10.133928571428571
MntMeatProducts,16.0,232.0,216.0,-308.0,556.0,175,7.8125
MntFishProducts,3.0,50.0,47.0,-67.5,120.5,223,9.955357142857142
MntSweetProducts,1.0,33.0,32.0,-47.0,81.0,248,11.071428571428571
MntGoldProds,9.0,56.0,47.0,-61.5,126.5,207,9.241071428571429
NumDealsPurchases,1.0,3.0,2.0,-2.0,6.0,86,3.8392857142857144
NumWebPurchases,2.0,6.0,4.0,-4.0,12.0,4,0.17857142857142858
NumCatalogPurchases,0.0,4.0,4.0,-6.0,10.0,23,1.0267857142857142
NumStorePurchases,3.0,8.0,5.0,-4.5,15.5,0,0.0
NumWebVisitsMonth,3.0,7.0,4.0,-3.0,13.0,8,0.35714285714285715
Customer_Tenure_Days,180.75,529.0,348.25,-341.625,1051.375,0,0.0
Total_Spending,68.75,1045.5,976.75,-1396.375,2510.625,3,0.13392857142857142
Total_Children,0.0,1.0,1.0,-1.5,2.5,53,2.3660714285714284
Total_Purchases,8.0,21.0,13.0,-11.5,40.5,2,0.08928571428571429
Total_Accepted_Campaigns,0.0,1.0,1.0,-1.5,2.5,97,4.330357142857142
