hr,Frequency,Relative_Frequency,Percent,Mode_Of_Variable
16,730,0.04200471833822429,4.200471833822429,16
17,730,0.04200471833822429,4.200471833822429,16
15,729,0.04194717762817193,4.194717762817193,16
14,729,0.04194717762817193,4.194717762817193,16
13,729,0.04194717762817193,4.194717762817193,16
12,728,0.04188963691811957,4.188963691811956,16
18,728,0.04188963691811957,4.188963691811956,16
19,728,0.04188963691811957,4.188963691811956,16
20,728,0.04188963691811957,4.188963691811956,16
21,728,0.04188963691811957,4.188963691811956,16
22,728,0.04188963691811957,4.188963691811956,16
23,728,0.04188963691811957,4.188963691811956,16
8,727,0.04183209620806721,4.18320962080672,16
9,727,0.04183209620806721,4.18320962080672,16
10,727,0.04183209620806721,4.18320962080672,16
7,727,0.04183209620806721,4.18320962080672,16
11,727,0.04183209620806721,4.18320962080672,16
0,726,0.04177455549801484,4.1774555498014845,16
6,725,0.041717014787962484,4.1717014787962485,16
1,724,0.041659474077910125,4.165947407791013,16
5,717,0.041256689107543584,4.125668910754358,16
2,715,0.041141607687438866,4.114160768743886,16
4,697,0.04010587490649634,4.010587490649634,16
3,697,0.04010587490649634,4.010587490649634,16
