Variable,Count,Missing_Count,Mean,Median,Mode,Min,Max,Range,Variance,Standard_Deviation,CV_Percent,Q1_25_Percentile,Q2_50_Percentile,Q3_75_Percentile,IQR,Lower_Bound_IQR,Upper_Bound_IQR,Outlier_Count_IQR
temp_interpolated,17544,0,0.4950444596443228,0.5,0.62,0.02,1.0,0.98,0.037323275554516505,0.1931923278873064,39.025247959771185,0.34,0.5,0.66,0.32,-0.13999999999999996,1.1400000000000001,0
atemp_interpolated,17544,0,0.47395702804377565,0.4848,0.6212,0.0,1.0,1.0,0.029762954274544826,0.1725194315853864,36.39980449228662,0.3333,0.4848,0.6212,0.2879,-0.09854999999999997,1.0530499999999998,0
hum_interpolated,17544,0,0.6284276675786594,0.63,0.88,0.0,1.0,1.0,0.03726490121010558,0.19304119044935872,30.71812404332055,0.48,0.63,0.79,0.31000000000000005,0.014999999999999902,1.2550000000000001,24
windspeed_interpolated,17544,0,0.19096531292749655,0.194,0.0,0.0,0.8507,0.8507,0.015104392167904459,0.12289992745280388,64.35719951898545,0.1045,0.194,0.2537,0.1492,-0.1193,0.4775,353
casual_interpolated,17544,0,35.35855563155495,16.0,0.0,0.0,367.0,367.0,2418.8291290299676,49.181593396615035,139.09389826071973,4.0,16.0,48.0,44.0,-62.0,114.0,1192
registered_interpolated,17544,0,152.5279297765618,114.0,4.0,0.0,886.0,886.0,22867.041906783543,151.2185236893402,99.1415302829195,33.0,114.0,219.0,186.0,-246.0,498.0,683
cnt_interpolated,17544,0,187.88648540811673,140.0,5.0,1.0,977.0,976.0,32861.78612221379,181.27820090185634,96.48283137985884,38.0,140.0,279.0,241.0,-323.5,640.5,513
cnt_log1p,17544,0,4.5543264898604345,4.948759890378168,1.791759469228055,0.6931471805599453,6.885509670034818,6.192362489474872,2.0484015130876116,1.431223781624527,31.425585864582718,3.6635616461296463,4.948759890378168,5.634789603169249,1.971227957039603,0.7067197105702419,8.591631538728654,160
cnt_diff_1,17543,1,0.0018810921735165024,-4.0,-1.0,-523.0,519.0,1042.0,10180.598619072021,100.89895251721903,5363849.466695677,-39.0,-4.0,30.0,69.0,-142.5,133.5,2362
lag_1,17543,1,187.89440232571397,140.0,5.0,1.0,977.0,976.0,32862.55976437206,181.28033474255298,96.47990174199253,38.0,140.0,279.0,241.0,-323.5,640.5,513
lag_24,17520,24,187.9880993150685,140.0,5.0,1.0,977.0,976.0,32889.10431674259,181.35353406190515,96.4707525224542,38.0,140.0,280.0,242.0,-325.0,643.0,499
lag_168,17376,168,188.98178522099448,141.0,5.0,1.0,977.0,976.0,33003.39293475273,181.66835975136874,96.13008975384932,39.0,141.0,281.0,242.0,-324.0,644.0,494
rolling_mean_24,17544,0,187.8134425162079,188.47916666666669,194.0,12.88888888888889,382.5,369.6111111111111,6422.903430892572,80.14301860357253,42.67160940658247,130.28125,188.47916666666669,247.42708333333331,117.14583333333331,-45.43749999999997,423.14583333333326,0
rolling_std_24,17543,1,153.5720658463562,154.0493051129965,235.72257090652755,0.6148754618988022,294.5119765779081,293.8971011160093,4017.068951450752,63.380351462032394,41.27075527227872,109.41429625343636,154.0493051129965,200.80508015804276,91.3907839046064,-27.67187960347323,337.8912560149523,0
rolling_mean_168,17544,0,187.64580307281994,186.0014880952381,286.1666666666667,12.88888888888889,332.9940476190476,320.1051587301587,5383.764309792707,73.3741392439646,39.10246754385986,137.18601190476193,186.0014880952381,254.92261904761904,117.73660714285711,-39.41889880952374,431.5275297619047,0
