fold,Frequency,Relative_Frequency,Percent,Mode_Of_Variable
4,990,0.11337608795235914,11.337608795235914,4
5,936,0.10719193770041227,10.719193770041228,4
3,925,0.1059322033898305,10.59322033898305,4
2,888,0.1016949152542373,10.16949152542373,4
1,873,0.0999770957398076,9.99770957398076,4
7,838,0.09596885020613834,9.596885020613835,4
10,837,0.09585432890517637,9.585432890517637,4
6,823,0.09425103069170866,9.425103069170866,4
9,816,0.0934493815849748,9.34493815849748,4
8,806,0.09230416857535502,9.230416857535502,4
