Column,Missing_Count,Missing_Rate
slice_file_name,0,0.0
fsID,0,0.0
start,0,0.0
end,0,0.0
duration_metadata,0,0.0
salience,0,0.0
fold,0,0.0
classID,0,0.0
class,0,0.0
audio_path,0,0.0
file_exists,0,0.0
sample_rate,0,0.0
audio_samples,0,0.0
duration_audio,0,0.0
rms_mean,0,0.0
rms_std,0,0.0
zcr_mean,0,0.0
zcr_std,0,0.0
spectral_centroid_mean,0,0.0
spectral_centroid_std,0,0.0
spectral_bandwidth_mean,0,0.0
spectral_bandwidth_std,0,0.0
spectral_rolloff_mean,0,0.0
spectral_rolloff_std,0,0.0
mfcc_1_mean,0,0.0
mfcc_1_std,0,0.0
mfcc_2_mean,0,0.0
mfcc_2_std,0,0.0
mfcc_3_mean,0,0.0
mfcc_3_std,0,0.0
mfcc_4_mean,0,0.0
mfcc_4_std,0,0.0
mfcc_5_mean,0,0.0
mfcc_5_std,0,0.0
mfcc_6_mean,0,0.0
mfcc_6_std,0,0.0
mfcc_7_mean,0,0.0
mfcc_7_std,0,0.0
mfcc_8_mean,0,0.0
mfcc_8_std,0,0.0
mfcc_9_mean,0,0.0
mfcc_9_std,0,0.0
mfcc_10_mean,0,0.0
mfcc_10_std,0,0.0
mfcc_11_mean,0,0.0
mfcc_11_std,0,0.0
mfcc_12_mean,0,0.0
mfcc_12_std,0,0.0
mfcc_13_mean,0,0.0
mfcc_13_std,0,0.0
feature_status,0,0.0
feature_error,0,0.0
